,Datetime,Value,Anomaly VB,Anomaly LOF,Anomaly IF,Date
0,2013-12-02 21:30:00,78.14070732,0,1,0,2013-12-02
1,2013-12-02 22:40:00,81.37357535,0,0,0,2013-12-02
2,2013-12-02 23:50:00,81.56235567,0,0,0,2013-12-02
3,2013-12-03 00:05:00,82.45575098,0,0,0,2013-12-03
4,2013-12-03 00:10:00,83.02758267,0,0,0,2013-12-03
5,2013-12-03 00:40:00,82.30991906,0,0,0,2013-12-03
6,2013-12-03 00:45:00,83.05136903,0,0,0,2013-12-03
7,2013-12-03 00:55:00,84.09700706,0,0,0,2013-12-03
8,2013-12-03 01:05:00,83.48998999,0,0,0,2013-12-03
9,2013-12-03 01:45:00,83.77113659999998,0,0,0,2013-12-03
10,2013-12-03 02:00:00,85.10730255,0,0,0,2013-12-03
11,2013-12-03 02:10:00,85.43784202,0,0,0,2013-12-03
12,2013-12-03 03:15:00,88.62366147,0,0,0,2013-12-03
13,2013-12-03 04:35:00,90.61223839,0,0,0,2013-12-03
14,2013-12-03 04:45:00,91.1192753,0,0,0,2013-12-03
15,2013-12-03 05:40:00,86.35545122,0,0,0,2013-12-03
16,2013-12-03 05:50:00,84.67963832,0,0,0,2013-12-03
17,2013-12-03 06:50:00,82.75784339,0,0,0,2013-12-03
18,2013-12-03 07:10:00,80.83401484,0,0,0,2013-12-03
19,2013-12-03 07:50:00,83.67102071,0,0,0,2013-12-03
20,2013-12-03 08:20:00,87.29964034,0,0,0,2013-12-03
21,2013-12-03 08:25:00,86.08152742,0,0,0,2013-12-03
22,2013-12-03 08:50:00,86.15758118,0,0,0,2013-12-03
23,2013-12-03 08:55:00,85.23120601,0,0,0,2013-12-03
24,2013-12-03 12:00:00,73.83093472,0,0,0,2013-12-03
25,2013-12-03 12:15:00,74.81298165,0,0,0,2013-12-03
26,2013-12-03 12:55:00,77.39280881,0,1,0,2013-12-03
27,2013-12-03 13:25:00,80.44409017,0,0,0,2013-12-03
28,2013-12-03 13:50:00,81.54395534,0,0,0,2013-12-03
29,2013-12-03 13:55:00,81.30146345,0,0,0,2013-12-03
30,2013-12-03 14:35:00,81.39294104,0,0,0,2013-12-03
31,2013-12-03 14:45:00,82.01953528,0,0,0,2013-12-03
32,2013-12-03 15:20:00,84.61722355,0,0,0,2013-12-03
33,2013-12-03 15:25:00,84.37223101,0,0,0,2013-12-03
34,2013-12-03 15:40:00,82.62589147,0,0,0,2013-12-03
35,2013-12-03 16:25:00,82.56862498,0,0,0,2013-12-03
36,2013-12-03 16:30:00,83.45096889,0,0,0,2013-12-03
37,2013-12-03 17:10:00,83.22921909,0,0,0,2013-12-03
38,2013-12-03 17:50:00,81.94416494,0,0,0,2013-12-03
39,2013-12-03 18:10:00,81.42689951,0,0,0,2013-12-03
40,2013-12-03 18:40:00,80.01620011,0,0,0,2013-12-03
41,2013-12-03 18:50:00,78.87746103,0,0,0,2013-12-03
42,2013-12-03 19:00:00,78.53209148,0,1,0,2013-12-03
43,2013-12-03 19:10:00,78.60147648,0,1,0,2013-12-03
44,2013-12-03 19:20:00,80.34151261,0,0,0,2013-12-03
45,2013-12-03 20:00:00,85.67514744,0,0,0,2013-12-03
46,2013-12-03 20:05:00,86.73557359,0,0,0,2013-12-03
47,2013-12-03 20:25:00,86.11829435,0,0,0,2013-12-03
48,2013-12-03 20:35:00,84.01298513,0,0,0,2013-12-03
49,2013-12-03 20:50:00,84.6204503,0,0,0,2013-12-03
50,2013-12-03 21:05:00,84.55433571,0,0,0,2013-12-03
51,2013-12-03 21:25:00,83.82024756,0,0,0,2013-12-03
52,2013-12-03 21:30:00,82.82118107,0,0,0,2013-12-03
53,2013-12-03 21:40:00,82.41635233,0,0,0,2013-12-03
54,2013-12-03 22:15:00,79.68231758,0,0,0,2013-12-03
55,2013-12-03 22:55:00,74.18629409,0,0,0,2013-12-03
56,2013-12-03 23:10:00,72.92432965,0,0,0,2013-12-03
57,2013-12-03 23:20:00,70.60517297,0,0,0,2013-12-03
58,2013-12-03 23:30:00,70.80451005,0,0,0,2013-12-03
59,2013-12-04 00:05:00,66.09439847,0,0,1,2013-12-04
60,2013-12-04 00:10:00,64.92515067,1,0,1,2013-12-04
61,2013-12-04 00:25:00,64.4365387,1,0,0,2013-12-04
62,2013-12-04 00:30:00,64.22546298,1,0,0,2013-12-04
63,2013-12-04 01:10:00,62.19962941,1,0,1,2013-12-04
64,2013-12-04 01:40:00,60.37118114,1,0,1,2013-12-04
65,2013-12-04 01:55:00,60.52991525,1,0,1,2013-12-04
66,2013-12-04 02:00:00,59.63744866,1,0,1,2013-12-04
67,2013-12-04 02:05:00,60.00666098,1,0,1,2013-12-04
68,2013-12-04 02:30:00,66.49930690000001,0,0,0,2013-12-04
69,2013-12-04 02:40:00,72.92970657,0,0,0,2013-12-04
70,2013-12-04 03:15:00,80.39691483,0,0,0,2013-12-04
71,2013-12-04 03:50:00,83.91816767,0,0,0,2013-12-04
72,2013-12-04 04:00:00,83.5474584,0,0,0,2013-12-04
73,2013-12-04 04:50:00,87.91839902,0,0,0,2013-12-04
74,2013-12-04 05:10:00,88.13082806,0,0,0,2013-12-04
75,2013-12-04 05:20:00,88.76009472,0,0,0,2013-12-04
76,2013-12-04 05:30:00,87.61665589,0,0,0,2013-12-04
77,2013-12-04 06:15:00,88.25426297,0,0,0,2013-12-04
78,2013-12-04 06:20:00,87.0632953,0,0,0,2013-12-04
79,2013-12-04 06:30:00,88.51117094,0,0,0,2013-12-04
80,2013-12-04 07:10:00,90.87460331,0,0,0,2013-12-04
81,2013-12-04 07:15:00,88.83698476,0,0,0,2013-12-04
82,2013-12-04 07:20:00,90.74342245,0,0,0,2013-12-04
83,2013-12-04 07:25:00,90.92465673,0,0,0,2013-12-04
84,2013-12-04 08:30:00,90.3096759,0,0,0,2013-12-04
85,2013-12-04 08:35:00,90.72428594,0,0,0,2013-12-04
86,2013-12-04 08:55:00,91.23679402,0,0,0,2013-12-04
87,2013-12-04 09:10:00,91.71235473,0,0,0,2013-12-04
88,2013-12-04 09:20:00,91.10486261,0,0,0,2013-12-04
89,2013-12-04 09:45:00,91.01595463,0,0,0,2013-12-04
90,2013-12-04 10:30:00,91.5975513,0,0,0,2013-12-04
91,2013-12-04 10:45:00,89.78884843,0,0,0,2013-12-04
92,2013-12-04 10:50:00,91.49798647,0,0,0,2013-12-04
93,2013-12-04 11:20:00,91.14968611,0,0,0,2013-12-04
94,2013-12-04 11:30:00,90.23782718,0,0,0,2013-12-04
95,2013-12-04 12:05:00,90.03063173,0,0,0,2013-12-04
96,2013-12-04 12:10:00,89.38603658,0,0,0,2013-12-04
97,2013-12-04 12:30:00,86.62532028,0,0,0,2013-12-04
98,2013-12-04 12:45:00,86.32186857,0,0,0,2013-12-04
99,2013-12-04 13:05:00,85.34846490000002,0,0,0,2013-12-04
100,2013-12-04 13:25:00,84.36204419,0,0,0,2013-12-04
101,2013-12-04 13:35:00,81.86204397,0,0,0,2013-12-04
102,2013-12-04 14:10:00,81.81714711,0,0,0,2013-12-04
103,2013-12-04 14:50:00,80.81686347,0,0,0,2013-12-04
104,2013-12-04 15:10:00,82.57000445,0,0,0,2013-12-04
105,2013-12-04 15:40:00,85.93505505,0,0,0,2013-12-04
106,2013-12-04 15:55:00,87.53885279,0,0,0,2013-12-04
107,2013-12-04 16:00:00,89.39106540000002,0,0,0,2013-12-04
108,2013-12-04 16:15:00,92.67881246,0,0,0,2013-12-04
109,2013-12-04 16:35:00,92.10645466,0,0,0,2013-12-04
110,2013-12-04 17:30:00,89.24455669,0,0,0,2013-12-04
111,2013-12-04 18:05:00,89.75942233,0,0,0,2013-12-04
112,2013-12-04 18:50:00,86.14703741,0,0,0,2013-12-04
113,2013-12-04 19:25:00,83.48429814,0,0,0,2013-12-04
114,2013-12-04 20:10:00,80.99710173,0,0,0,2013-12-04
115,2013-12-04 21:10:00,80.13239831,0,0,0,2013-12-04
116,2013-12-04 21:15:00,81.33413076,0,0,0,2013-12-04
117,2013-12-04 21:55:00,77.86819433,0,1,0,2013-12-04
118,2013-12-04 22:00:00,76.76317722,0,1,0,2013-12-04
119,2013-12-04 22:05:00,78.47627847,0,1,0,2013-12-04
120,2013-12-04 23:45:00,83.27622491,0,0,0,2013-12-04
121,2013-12-05 00:05:00,82.52295937,0,0,0,2013-12-05
122,2013-12-05 01:00:00,83.55915859,0,0,0,2013-12-05
123,2013-12-05 01:50:00,82.0728321,0,0,0,2013-12-05
124,2013-12-05 02:10:00,82.16627916,0,0,0,2013-12-05
125,2013-12-05 02:35:00,82.53245119,0,0,0,2013-12-05
126,2013-12-05 02:50:00,83.58350239,0,0,0,2013-12-05
127,2013-12-05 02:55:00,82.17427237,0,0,0,2013-12-05
128,2013-12-05 03:10:00,83.08653743,0,0,0,2013-12-05
129,2013-12-05 03:20:00,81.41285397,0,0,0,2013-12-05
130,2013-12-05 03:30:00,83.44733584,0,0,0,2013-12-05
131,2013-12-05 03:50:00,82.59111138,0,0,0,2013-12-05
132,2013-12-05 04:35:00,81.36656571,0,0,0,2013-12-05
133,2013-12-05 04:55:00,81.910648,0,0,0,2013-12-05
134,2013-12-05 05:20:00,83.26018551,0,0,0,2013-12-05
135,2013-12-05 05:25:00,82.81812563,0,0,0,2013-12-05
136,2013-12-05 06:35:00,81.59395516,0,0,0,2013-12-05
137,2013-12-05 07:10:00,81.20873088,0,0,0,2013-12-05
138,2013-12-05 07:15:00,79.76408824,0,0,0,2013-12-05
139,2013-12-05 07:20:00,79.36749096,0,0,0,2013-12-05
140,2013-12-05 08:00:00,79.24067463,0,0,0,2013-12-05
141,2013-12-05 08:15:00,78.36282324,0,1,0,2013-12-05
142,2013-12-05 08:50:00,75.30499262,0,0,0,2013-12-05
143,2013-12-05 09:05:00,72.35833424,0,0,0,2013-12-05
144,2013-12-05 09:15:00,71.97335021,0,0,0,2013-12-05
145,2013-12-05 09:40:00,71.78321277,0,0,0,2013-12-05
146,2013-12-05 10:20:00,71.35572643,0,0,0,2013-12-05
147,2013-12-05 10:30:00,71.15766235,0,0,0,2013-12-05
148,2013-12-05 10:35:00,71.13846278,0,0,0,2013-12-05
149,2013-12-05 10:45:00,69.68256606,0,0,0,2013-12-05
150,2013-12-05 11:15:00,70.00041405,0,0,0,2013-12-05
151,2013-12-05 13:55:00,72.66751598,0,0,0,2013-12-05
152,2013-12-05 15:05:00,73.52037199,0,0,0,2013-12-05
153,2013-12-05 15:30:00,68.78031658,0,0,0,2013-12-05
154,2013-12-05 16:10:00,61.58298516,1,0,0,2013-12-05
155,2013-12-05 16:55:00,59.66856035,1,0,1,2013-12-05
156,2013-12-05 17:20:00,60.15249910000001,1,0,1,2013-12-05
157,2013-12-05 17:30:00,58.24862344,1,0,1,2013-12-05
158,2013-12-05 18:05:00,58.39042981,1,0,1,2013-12-05
159,2013-12-05 18:15:00,58.05195686,1,0,1,2013-12-05
160,2013-12-05 18:55:00,56.95010972,1,0,1,2013-12-05
161,2013-12-05 19:20:00,55.59128069,1,0,1,2013-12-05
162,2013-12-05 19:30:00,54.10044932,1,0,1,2013-12-05
163,2013-12-05 20:15:00,54.52217181,1,0,1,2013-12-05
164,2013-12-05 20:35:00,58.38399867,1,0,1,2013-12-05
165,2013-12-05 21:25:00,64.22520873,1,0,0,2013-12-05
166,2013-12-05 22:10:00,71.45767329,0,0,0,2013-12-05
167,2013-12-05 22:25:00,70.29964073,0,0,0,2013-12-05
168,2013-12-05 22:35:00,68.29009644,0,0,0,2013-12-05
169,2013-12-05 23:30:00,78.38328489,0,1,0,2013-12-05
170,2013-12-06 00:05:00,79.66953128,0,0,0,2013-12-06
171,2013-12-06 00:50:00,81.94678053,0,0,0,2013-12-06
172,2013-12-06 01:10:00,82.55316396,0,0,0,2013-12-06
173,2013-12-06 01:20:00,84.49061689,0,0,0,2013-12-06
174,2013-12-06 01:30:00,84.40340024,0,0,0,2013-12-06
175,2013-12-06 02:00:00,84.40460814,0,0,0,2013-12-06
176,2013-12-06 02:30:00,84.81274419,0,0,0,2013-12-06
177,2013-12-06 02:35:00,85.30419785,0,0,0,2013-12-06
178,2013-12-06 03:15:00,84.29595954,0,0,0,2013-12-06
179,2013-12-06 04:00:00,84.92830219,0,0,0,2013-12-06
180,2013-12-06 05:15:00,85.71160468,0,0,0,2013-12-06
181,2013-12-06 05:25:00,85.91434138,0,0,0,2013-12-06
182,2013-12-06 05:30:00,86.30354179999998,0,0,0,2013-12-06
183,2013-12-06 06:05:00,84.93025619,0,0,0,2013-12-06
184,2013-12-06 06:10:00,86.21059458,0,0,0,2013-12-06
185,2013-12-06 06:40:00,85.52062843,0,0,0,2013-12-06
186,2013-12-06 06:55:00,84.62820324,0,0,0,2013-12-06
187,2013-12-06 08:00:00,85.8878703,0,0,0,2013-12-06
188,2013-12-06 08:15:00,87.60148663,0,0,0,2013-12-06
189,2013-12-06 09:05:00,88.27812502,0,0,0,2013-12-06
190,2013-12-06 09:30:00,87.36310353,0,0,0,2013-12-06
191,2013-12-06 10:15:00,88.65621567,0,0,0,2013-12-06
192,2013-12-06 10:50:00,88.23123178,0,0,0,2013-12-06
193,2013-12-06 11:25:00,88.05065597,0,0,0,2013-12-06
194,2013-12-06 11:30:00,86.10277143,0,0,0,2013-12-06
195,2013-12-06 12:20:00,83.91135038,0,0,0,2013-12-06
196,2013-12-06 12:55:00,82.60273164,0,0,0,2013-12-06
197,2013-12-06 13:15:00,80.98443162,0,0,0,2013-12-06
198,2013-12-06 13:40:00,81.19061515,0,0,0,2013-12-06
199,2013-12-06 13:50:00,80.82253465,0,0,0,2013-12-06
200,2013-12-06 14:00:00,82.25503814,0,0,0,2013-12-06
201,2013-12-06 14:30:00,82.53948263,0,0,0,2013-12-06
202,2013-12-06 15:00:00,81.20869774,0,0,0,2013-12-06
203,2013-12-06 15:35:00,83.85803576,0,0,0,2013-12-06
204,2013-12-06 15:45:00,83.07497171,0,0,0,2013-12-06
205,2013-12-06 15:50:00,83.04347383,0,0,0,2013-12-06
206,2013-12-06 16:15:00,83.33136165,0,0,0,2013-12-06
207,2013-12-06 16:40:00,84.37571128,0,0,0,2013-12-06
208,2013-12-06 17:25:00,85.46997707,0,0,0,2013-12-06
209,2013-12-06 18:05:00,85.56072314,0,0,0,2013-12-06
210,2013-12-06 18:45:00,86.88756344,0,0,0,2013-12-06
211,2013-12-06 18:50:00,88.29902134,0,0,0,2013-12-06
212,2013-12-06 19:30:00,88.03181678,0,0,0,2013-12-06
213,2013-12-06 19:40:00,89.12754709,0,0,0,2013-12-06
214,2013-12-06 20:35:00,89.85619338,0,0,0,2013-12-06
215,2013-12-06 20:50:00,88.5098847,0,0,0,2013-12-06
216,2013-12-06 21:20:00,89.17577509,0,0,0,2013-12-06
217,2013-12-06 21:45:00,90.18090501,0,0,0,2013-12-06
218,2013-12-06 22:05:00,89.93175648,0,0,0,2013-12-06
219,2013-12-06 22:10:00,90.24756688,0,0,0,2013-12-06
220,2013-12-06 22:25:00,90.38717115,0,0,0,2013-12-06
221,2013-12-06 23:45:00,88.28771451,0,0,0,2013-12-06
222,2013-12-07 00:10:00,89.88696663,0,0,0,2013-12-07
223,2013-12-07 00:25:00,89.02730989,0,0,0,2013-12-07
224,2013-12-07 00:35:00,89.0411713,0,0,0,2013-12-07
225,2013-12-07 01:00:00,89.12950543,0,0,0,2013-12-07
226,2013-12-07 01:10:00,89.59247781,0,0,0,2013-12-07
227,2013-12-07 01:20:00,89.86910912,0,0,0,2013-12-07
228,2013-12-07 01:25:00,89.31410296,0,0,0,2013-12-07
229,2013-12-07 01:40:00,90.30481698,0,0,0,2013-12-07
230,2013-12-07 02:30:00,89.64205732,0,0,0,2013-12-07
231,2013-12-07 02:50:00,89.03132305,0,0,0,2013-12-07
232,2013-12-07 03:30:00,90.54951315,0,0,0,2013-12-07
233,2013-12-07 04:20:00,88.80178324,0,0,0,2013-12-07
234,2013-12-07 04:50:00,87.58349617,0,0,0,2013-12-07
235,2013-12-07 05:05:00,87.60353719999998,0,0,0,2013-12-07
236,2013-12-07 06:05:00,87.33392916,0,0,0,2013-12-07
237,2013-12-07 06:20:00,85.59055932,0,0,0,2013-12-07
238,2013-12-07 07:15:00,84.7145816,0,0,0,2013-12-07
239,2013-12-07 08:05:00,87.95787732,0,0,0,2013-12-07
240,2013-12-07 08:35:00,88.55026479,0,0,0,2013-12-07
241,2013-12-07 08:45:00,89.14220145,0,0,0,2013-12-07
242,2013-12-07 09:20:00,91.37251011,0,0,0,2013-12-07
243,2013-12-07 10:30:00,85.43090742,0,0,0,2013-12-07
244,2013-12-07 11:20:00,79.25563728,0,0,0,2013-12-07
245,2013-12-07 11:30:00,78.97906373,0,0,0,2013-12-07
246,2013-12-07 11:55:00,76.47873504,0,1,0,2013-12-07
247,2013-12-07 12:40:00,74.62257438,0,0,0,2013-12-07
248,2013-12-07 12:45:00,72.37723298,0,0,0,2013-12-07
249,2013-12-07 12:50:00,72.54924689,0,0,0,2013-12-07
250,2013-12-07 13:25:00,80.09102362,0,0,0,2013-12-07
251,2013-12-07 13:30:00,82.12245773,0,0,0,2013-12-07
252,2013-12-07 13:45:00,80.22144457,0,0,0,2013-12-07
253,2013-12-07 14:10:00,81.69944119,0,0,0,2013-12-07
254,2013-12-07 14:20:00,82.84147420000002,0,0,0,2013-12-07
255,2013-12-07 14:25:00,82.14404457,0,0,0,2013-12-07
256,2013-12-07 14:45:00,83.96317936,0,0,0,2013-12-07
257,2013-12-07 15:05:00,85.05118793,0,0,0,2013-12-07
258,2013-12-07 15:30:00,84.7585872,0,0,0,2013-12-07
259,2013-12-07 15:35:00,86.91936064,0,0,0,2013-12-07
260,2013-12-07 16:30:00,87.53643105,0,0,0,2013-12-07
261,2013-12-07 17:20:00,88.82373791,0,0,0,2013-12-07
262,2013-12-07 17:35:00,88.02582114,0,0,0,2013-12-07
263,2013-12-07 17:45:00,88.66723492,0,0,0,2013-12-07
264,2013-12-07 18:05:00,88.34981142,0,0,0,2013-12-07
265,2013-12-07 18:55:00,87.71007478,0,0,0,2013-12-07
266,2013-12-07 19:30:00,86.92040117,0,0,0,2013-12-07
267,2013-12-07 20:10:00,88.87974831,0,0,0,2013-12-07
268,2013-12-07 20:20:00,88.97427693,0,0,0,2013-12-07
269,2013-12-07 20:25:00,88.4253838,0,0,0,2013-12-07
270,2013-12-07 20:40:00,89.13680205,0,0,0,2013-12-07
271,2013-12-07 21:20:00,88.20550889,0,0,0,2013-12-07
272,2013-12-07 21:30:00,88.96733156,0,0,0,2013-12-07
273,2013-12-07 21:35:00,87.70025442,0,0,0,2013-12-07
274,2013-12-07 21:55:00,88.3258582,0,0,0,2013-12-07
275,2013-12-07 22:05:00,87.96213226,0,0,0,2013-12-07
276,2013-12-07 22:20:00,88.03889936,0,0,0,2013-12-07
277,2013-12-07 22:35:00,87.64377173,0,0,0,2013-12-07
278,2013-12-07 22:40:00,88.47162673,0,0,0,2013-12-07
279,2013-12-07 23:45:00,88.50977326,0,0,0,2013-12-07
280,2013-12-08 00:05:00,88.62374344,0,0,0,2013-12-08
281,2013-12-08 00:10:00,88.78552161,0,0,0,2013-12-08
282,2013-12-08 00:50:00,89.02931366,0,0,0,2013-12-08
283,2013-12-08 01:15:00,89.52715972,0,0,0,2013-12-08
284,2013-12-08 01:20:00,88.71538595,0,0,0,2013-12-08
285,2013-12-08 01:40:00,89.45117068,0,0,0,2013-12-08
286,2013-12-08 02:30:00,89.49843578,0,0,0,2013-12-08
287,2013-12-08 02:35:00,88.98167684,0,0,0,2013-12-08
288,2013-12-08 03:05:00,90.28620146,0,0,0,2013-12-08
289,2013-12-08 03:15:00,89.37158649999998,0,0,0,2013-12-08
290,2013-12-08 04:05:00,90.18745452,0,0,0,2013-12-08
291,2013-12-08 04:30:00,87.63068406,0,0,0,2013-12-08
292,2013-12-08 04:45:00,88.4932938,0,0,0,2013-12-08
293,2013-12-08 05:05:00,86.69567686,0,0,0,2013-12-08
294,2013-12-08 05:10:00,87.48503779,0,0,0,2013-12-08
295,2013-12-08 06:45:00,84.40276599,0,0,0,2013-12-08
296,2013-12-08 08:15:00,85.55003712,0,0,0,2013-12-08
297,2013-12-08 08:55:00,83.11570344,0,0,0,2013-12-08
298,2013-12-08 10:10:00,84.73938269,0,0,0,2013-12-08
299,2013-12-08 10:30:00,81.53157177,0,0,0,2013-12-08
300,2013-12-08 10:55:00,81.25728325,0,0,0,2013-12-08
301,2013-12-08 11:05:00,80.5258056,0,0,0,2013-12-08
